id,regression,caused_by,shape,reach,caught_by,status
R30,Dark fill:none reported as a value this checker cannot read - false HARD,dark-unreadable work,borrowed-default,0 corpus,round 5 bug-hunter,fixed
R31,_ancestor_opacity reads the attribute only; class-declared group opacity invisible,R12's fix,sibling-left-behind,"95 class-opacity containers, 0 elections flip",round 5 bug-hunter,fixed
R32,!important branch breaks ties by attribute order not source order,R19's fix,nth-weaker-copy,0 corpus,round 5 architect + bug-hunter,fixed
R33,Two comments assert the reverted R24 exemption; Shape.displaced written never read,R24's fix,half-converted-record,"comments, not code",round 5 bug-hunter,fixed
R34,_SEQ offsets in two coordinate spaces (light spliced dark original); first dark rule demoted to offset 0,R28's fix making cross-map comparison live,borrowed-default,0/71 corpus; wrong tie-break in the HARD-tier resolver,round 6 architect + bug-hunter,fixed
R35,Arrowhead rows can never SKIP: only connectors got the tri-state; arrowheads stayed boolean,R-polygon fix (round 6),partial-conversion,head points into the card PASS over 9 unjudged heads,round 6 UX,fixed
R36,Findings branch (acked SOFT no HARD) exits 0 over unasked SKIPs; only the zero-findings branch consults the roster,clean-branch verdict fix (round 6),partial-conversion,shippable + exit 0 over 9 unjudged aspects,round 6 UX,fixed
R37,Dark parse runs a quadratic regex over the full-length blanked string unconditionally,dark-sheet one-pass parse (campaign),nth-weaker-copy,3s on a 20KB single-theme deck; 0/71 today,round 6 bug-hunter,fixed
R38,display:none compared case-sensitively in the new style-spelling branch,R-display fix (round 6),borrowed-default,0 corpus; inconsistent with check_connectors,round 6 bug-hunter,fixed
R39,"display:none !important hid from connectors, rendered in check_css - invisible glyphs fired HARD contrast and forbidden-color","R38's fix (round 6), one spelling further down the same axis",partial-conversion,0/71 corpus; reproduced through the finalize gate (2 HARD),round 7 bug-hunter + architect,fixed
R40,merged_rules same-selector dark landing never consulted the _SEQ offsets R34 repaired; a later light redeclaration lost the tie it wins in a browser,"R34's fix, applied to cross-selector ties only",partial-conversion,0/71 corpus; wrong dark answer in the HARD-tier resolver,round 7 architect,fixed
R41,JSON skipped key emitted {} on the HARD path - not-consulted indistinguishable from nothing-unjudged,R36's fix (round 6) building the map only on the SOFT path,half-converted-record,every HARD-path --json run,round 7 UX,fixed
R42,Clean-branch --json omitted totals; a consumer's totals lookup KeyErrors on exactly the green path,clean-branch verdict fix (round 6),sibling-left-behind,every clean --json run,round 7 UX,fixed
R43,Mixed multi-file findings branch printed no verdict line for the healthy file - silence read as also-unverified,R36's fix (round 6),sibling-left-behind,every mixed acked run,round 7 UX,fixed
R44,_UNKNOWN_NOTE labels/cards entries unreachable - those inventory keys are never None,_UNKNOWN_NOTE introduction (round 6),no-consumer,dead weight; the message text was wrong for those keys,round 7 architect,fixed
R45,merged_rules landing guard compared source order without the importance precondition - an early dark !important lost to a later light normal,R40's fix (round 7),borrowed-default,0/71 corpus; needs post-media redeclaration AND importance asymmetry,self-audit before the round-8 freeze,fixed
R46,check_overlaps hidden-subtree predicate still on the substring semantics after R39 converted the other two - *-display:none custom property silently dropped visible subtrees from the HARD-tier overlaps model,R39's fix (round 7); the census missed the third consumer,partial-conversion,0/71 corpus; silent false negatives in the HARD tier,round 8 architect,fixed
R47,"HARD path withheld the unjudged aspects from the human surface - JSON gained the skipped map, stderr kept N hard M soft; operator met the skips one gate cycle after the re-run-ONCE promise",R41's fix (round 7),sibling-left-behind,every HARD run with parser skips,round 8 UX,fixed
R48,OK verdict line added to the mixed branch only - the uniform acked run (the commonest acked state) got the next: guidance and no verdict,the C5 fix (round 7),partial-conversion,every uniform acked run,round 8 UX,fixed
